generation;bestOffspring;bestOffspringValue;best;bestValue
1;11011101000111111011;4;11011101000111111011;4
2;10001101000101101011;5;10001101000101101011;5
3;10001101000101101111;5;10001101000101101111;5
4;10001101000001101111;5;10001101000001101111;5
5;10001111000001101111;5;10001111000001101111;5
6;10101111001001100111;4;10001111000001101111;5
7;10001111000000101111;6;10001111000000101111;6
8;01010111110101101011;3;10001111000000101111;6
9;11001111000100100111;6;11001111000100100111;6
10;11001111011100101111;5;11001111000100100111;6
11;11001010100101010101;4;11001111000100100111;6
12;11001010010110110100;7;11001010010110110100;7
13;11010010010110110100;8;11010010010110110100;8
14;00100010000100010110;5;11010010010110110100;8
15;11010000110110110101;5;11010010010110110100;8
16;00000010111111101100;7;11010010010110110100;8
17;10001010000111010100;8;10001010000111010100;8
18;10101010110001110100;10;10101010110001110100;10
