generation;bestOffspring;bestOffspringValue;best;bestValue
1;00100101110011101000;6;00100101110011101000;6
2;01110001011001110100;8;01110001011001110100;8
3;01110100001001111101;4;01110001011001110100;8
4;11111001010000110100;7;01110001011001110100;8
5;11111010001001110100;7;01110001011001110100;8
6;01010000111001010000;5;01110001011001110100;8
7;01000011011000100100;2;01110001011001110100;8
8;11010000011000110100;5;01110001011001110100;8
9;01110001011011111101;5;01110001011001110100;8
10;01000011011011110100;5;01110001011001110100;8
11;01110001111000011100;5;01110001011001110100;8
12;01110001000010110000;4;01110001011001110100;8
13;00100001111001110101;3;01110001011001110100;8
14;01110001011000110101;6;01110001011001110100;8
15;01110000011011100010;6;01110001011001110100;8
16;00110101001011110100;9;00110101001011110100;9
17;10000101001001110100;8;00110101001011110100;9
18;10101001001011110000;4;00110101001011110100;9
19;10110100001111011100;7;00110101001011110100;9
20;00110111110111110100;6;00110101001011110100;9
21;00110111000011111100;7;00110101001011110100;9
22;00110111001011110100;9;00110111001011110100;9
23;00110111111110100100;6;00110111001011110100;9
24;00110111001011101000;9;00110111001011101000;9
25;10110101000001001011;2;00110111001011101000;9
26;00100110000011101010;4;00110111001011101000;9
27;00110110101001111001;3;00110111001011101000;9
28;00100010101011101000;6;00110111001011101000;9
29;11110111101001000001;4;00110111001011101000;9
30;01010011100011101000;6;00110111001011101000;9
31;00010111101111101000;6;00110111001011101000;9
32;00000111000010101000;6;00110111001011101000;9
33;10111110001011101010;4;00110111001011101000;9
34;01111110100011101000;10;01111110100011101000;10
